Table S1a Top ranked cell type-enriched genes based on both human and mouse data								
								
Zhang2016_logFC	Darmanis2015_logFC	Zhang2014_logFC	Zeisel2014_logFC	Tasic2016_logFC	grand_mean	gene	Celltype	
5.69152823635384	7.24066895755882	6.43323524026096	6.12701616055801	8.59373481904637	6.8172366827556	AQP4	ast	
6.5773944088273	6.32652555628888	4.69304880976302	4.38868273508945	8.72027027971934	6.1411843579376	GJA1	ast	
5.69591532996671	5.40552825774542	4.07844989102471	4.30640232278896	8.78051378068584	5.65336191644233	GJB6	ast	
5.63954502913031	5.08209339619942	6.14674578371596	4.40742416304832	6.67474655476982	5.59011098537276	SLC4A4	ast	
5.73300997505253	6.04324170996293	5.00303380546727	5.00523922629216	5.56857939054159	5.4706208214633	SLC1A2	ast	
5.39413584403473	5.05332007110403	5.18175524423226	3.01875353792655	8.61352041175773	5.45229702181106	F3	ast	
5.46693707313333	6.41507053126219	6.15127464968293	2.7743224109568	6.20815983705239	5.40315290041753	BMPR1B	ast	
5.44690016129953	4.19556448356114	5.78602289351396	3.77043502287469	7.33334349063939	5.30645321037774	FGFR3	ast	
5.6777880730877	4.34764914439441	4.79000103962879	3.75359350395501	7.58566724241104	5.23093980069539	SLC39A12	ast	
4.86176925501453	5.21360680932515	4.447741608989	4.64154532942301	6.98595437720638	5.23012347599161	CLDN10	ast	
4.12098161263294	4.71834963774289	5.67267084833604	3.68657539022602	7.00596862791096	5.04090922336977	DIO2	ast	
4.09307441088124	5.29392665171833	3.413444636755	5.54816614289143	6.76999769615614	5.02372190768043	ALDOC	ast	
4.35840314548359	4.0175405655708	5.34402602769288	3.95952770398189	7.13535612799111	4.96297071414406	ALDH1L1	ast	
3.76965607907391	3.9014299835335	5.19456714407105	4.42121227506104	7.42227567979701	4.9418282323073	SLC1A3	ast	
5.42554305618227	4.84367098454519	3.45451096001766	5.53747469665579	5.3709266203556	4.9264252635513	CLU	ast	
4.81574041629931	4.48560472909786	6.47619699460312	2.39776510144142	6.43469003624609	4.92199945553756	ATP13A4	ast	
5.34500504421528	5.28928903789419	4.12809509513603	1.95907966094025	7.86756200104921	4.91780616784699	SLCO1C1	ast	
5.43233187441269	3.62760178811963	5.84689146823033	3.45288159198085	6.19849345756641	4.91164003606198	SLC14A1	ast	
5.03600889299894	3.45608831891654	5.84932286143164	2.22562185028546	7.89493968786121	4.89239632229876	CHRDL1	ast	
4.9921695753074	4.7573542627779	3.79808980257251	4.30564894533928	6.56005863100497	4.88266424340041	GPR37L1	ast	
3.86395944706318	4.08315168234465	4.38609618622651	4.52755476090949	7.4096035107044	4.85407311744965	ACSBG1	ast	
4.7591018303682	5.26479475688411	4.03021400989585	4.62615528411718	5.22283181383673	4.78061953902041	ATP1A2	ast	
4.4981282585984	5.19887226311143	4.23884548757509	3.42589463837421	6.51136836419665	4.77462180237116	SLC25A18	ast	
4.84325412223765	5.01320987713426	4.72745247824603	3.79932722579845	5.48591146826878	4.77383103433703	EDNRB	ast	
5.03520249858875	3.42495858214345	4.71416447672838	4.34654282113424	6.347948999248	4.77376347556856	PPAP2B	ast	
4.57104465917039	4.91594890664826	3.86871455727845	3.90241821667687	6.50813906442551	4.7532530808399	GFAP	ast	
4.60976990475906	4.19486569312353	5.36256686351473	3.57707390761382	5.85810255734506	4.72047578527124	SOX9	ast	
5.30417808331952	4.50530347941099	2.72255904179802	4.21008237837171	6.79681466698122	4.70778752997629	SDC4	ast	
4.36585754086924	3.20392418751752	5.62468492126024	3.15946733123598	7.05129477134236	4.68104575044507	PPP1R3C	ast	
5.22920273410778	4.41115958839333	5.30877702598019	4.43140134378376	3.97180552658502	4.67046924377002	NCAN	ast	
4.51830350890306	3.398033705027	4.68489128040598	4.23587431358871	6.45920004342849	4.65926057027065	MLC1	ast	
5.05552254356403	4.0478125785786	5.97502003399457	2.7658670792614	5.35299624309886	4.63944369569949	GLI3	ast	
4.72960717437655	4.86256665695095	4.33434942364244	2.89233083808656	6.37494947595196	4.63876071380169	SLC7A11	ast	
4.27566717635715	3.8372385396137	4.34957909267914	4.23132775539161	5.60629840989438	4.46002219478719	ACSL6	ast	
4.42161345412016	3.89532247672529	5.19648924015727	3.41752913010817	5.31075949676602	4.44834275957538	RFX4	ast	
4.87148476446734	3.94091871674599	4.06358807272217	4.18668402694858	5.11633528210366	4.43580217259755	ID4	ast	
5.50287690849641	5.09946880262321	3.17067341708013	3.36877760325099	4.72109443381124	4.3725782330524	AGT	ast	
4.33448676901971	4.3798699492848	3.71991868603293	4.00833211758047	5.40510858956582	4.36954322229675	SFXN5	ast	
4.18989934996874	4.18170317215309	4.92437754333091	2.53758147339803	6.00268393343527	4.36724909445721	GABRG1	ast	
3.97594453654022	4.52709120844964	5.13507905398983	2.91497500374096	5.16026666943716	4.34267129443156	PAX6	ast	
4.1327032033133	3.62630708627875	4.89428752215036	3.90598330919017	5.08814166521591	4.3294845572297	RORB	ast	
3.33034528010653	3.87593021898368	5.44507447076374	2.66816010799137	6.31120488657765	4.3261429928846	GRM3	ast	
3.27123460672331	2.40838284343243	6.52680811968897	4.31114899968145	5.03313773293568	4.31014246049237	PTPRZ1	ast	
4.69531020092646	4.25282471802427	4.19624015351745	2.8642546174125	5.52061887037009	4.30584971205016	PSD2	ast	
4.53877258334615	2.84857389262924	5.72759830431542	3.6585063748025	4.72456360638567	4.2996029522958	SLC6A11	ast	
5.51760563429983	4.46756344392672	3.96883884311665	3.71882401786098	3.78745635887723	4.29205765961628	ATP1B2	ast	
3.9920038220995	1.51391444933385	3.68369692514558	4.85852297099518	7.39064037664722	4.28775570884427	NTSR2	ast	
4.35367080011677	3.58984593660941	3.69229057605311	3.008909637623	6.76664173310524	4.28227173670151	S1PR1	ast	
2.91378467935077	4.34117400095829	5.04584093905878	3.37038185853419	5.47891135179272	4.23001856593895	SLC15A2	ast	
4.92879367897198	3.40822670815295	4.84877727157154	2.18917445208353	5.53348792514769	4.18169200718554	ELOVL2	ast	
4.83703702446743	3.82840064660191	4.77634364314448	3.06283843514897	4.26481868029599	4.15388768593175	TRIL	ast	
4.32145313413329	3.44340373943695	4.03470873297503	3.33813312737854	5.62292859002856	4.15212546479047	SCARA3	ast	
4.69699444684444	4.8012385346317	2.79344223875966	3.46455159273313	4.68396176012012	4.08803771461781	MGST1	ast	
