Table S1i Top ranked cell type-specfic genes based on mouse data						
						
Zhang2014_logFC	Zeisel2014_logFC	Tasic2016_logFC	grand_mean	gene	Celltype	
4.66558823743757	5.30847995978043	6.90774060303758	5.62726960008519	AQP4	ast	
4.39567158463783	3.78946639266054	6.38201821239195	4.85571872989677	ALDH1L1	ast	
4.53266449108679	3.38633105634914	6.14611014902632	4.68836856548742	SLC14A1	ast	
4.58632498414328	1.94940294813164	7.12815988572851	4.55462927266781	PLCD4	ast	
3.66590250028444	3.43406995841385	6.37474978147824	4.49157408005884	MLC1	ast	
3.58386246025201	1.90422349204722	7.76377275400314	4.41728623543412	CHRDL1	ast	
4.63472365514562	2.39449641982803	5.91212575448053	4.31378194315139	CBS	ast	
5.13244346653012	2.31171522578914	5.325960445476	4.25670637926509	GLI3	ast	
4.07784040045559	2.53044491019	5.9532871669989	4.1871908258815	PHKG1	ast	
4.823714944587	2.92571634049498	4.67923084094896	4.14288737534365	PPP1R3C	ast	
4.768128503929	2.54797417691101	5.10708856018936	4.14106374700979	BMPR1B	ast	
4.59948704054902	2.2759005886612	5.49957817306421	4.12498860075814	KIAA2012	ast	
4.32920775637824	2.32971448290555	5.51549739007456	4.05813987645278	FGFR3	ast	
4.07297007953574	1.99785534902173	5.95668847089636	4.00917129981795	ENTPD2	ast	
3.36076360248065	3.3604397422822	5.15044678393575	3.9572167095662	2900052N01RIK	ast	
2.67663942516141	3.48208149823703	5.57724639051958	3.91198910463934	PLA2G7	ast	
2.88225557043164	3.12056530312963	5.67035412413898	3.89105833256675	ACSBG1	ast	
3.03697029630863	2.94764085082191	5.63023479073902	3.87161531262319	SLC25A18	ast	
1.66557443716147	3.81587914542104	5.92780388893385	3.80308582383879	GFAP	ast	
3.25498653330114	2.71657047962238	5.35156962156342	3.77437554482898	SLC39A12	ast	
4.65302896041776	1.19623448677645	5.42679743476659	3.7586869606536	LGR6	ast	
3.16543413677979	3.32206508874143	4.67884760694505	3.72211561082209	DIO2	ast	
4.03810803275688	3.28856680965032	3.82976530049435	3.71881338096718	SLC4A4	ast	
3.6537639030591	2.76160253875622	4.40136694245707	3.60557779475746	SOX9	ast	
3.46796800930397	2.0990618998942	5.15947761528047	3.57550250815955	SLC7A10	ast	
3.82949815069951	2.14478369979982	4.72563160947861	3.56663781999265	ATP13A4	ast	
2.59987650735401	3.7822853532801	4.31436242078451	3.56550809380621	LCAT	ast	
4.25852202330622	1.88266581514914	4.53155559816305	3.55758114553947	CTH	ast	
2.67121332165311	3.32886236452303	4.57376203842819	3.52461257486811	AGT	ast	
3.70439666633271	1.26894829849522	5.5256984303994	3.49968113174244	CYP4F2	ast	
1.80102849708445	3.80016040430309	4.59339237088124	3.39819375742293	NTSR2	ast	
4.10871259119515	2.61628651634775	3.43829166898025	3.38776359217438	SLC6A11	ast	
1.56696403387961	4.04570912011013	4.43616677537868	3.34961330978947	ALDOC	ast	
2.87018201610291	3.76942584760016	3.34047174950239	3.32669320440182	CLDN10	ast	
2.72519856338494	2.88249134215282	4.31649998042329	3.30806329532035	GJA1	ast	
1.33220010672039	2.54602313078958	6.00289974252133	3.29370766001043	GLDC	ast	
2.4814150695442	3.7138052142812	3.68572615231883	3.29364881204808	SFXN5	ast	
1.7812372162505	3.78934177221239	4.22871854599451	3.2664325114858	GJB6	ast	
2.26169711232779	3.58634667952582	3.88023594620158	3.24275991268507	SLC1A2	ast	
1.33325157114312	4.30680210787672	4.08132252188984	3.24045873363656	CLU	ast	
1.6574017384222	3.16127218020356	4.75909261843164	3.1925888456858	SCARA3	ast	
4.88655307973003	0.303212326483479	4.3612285554171	3.18366465387687	HGF	ast	
3.61324560327727	1.03055913235077	4.84372642286703	3.16251038616502	PDZPH1	ast	
3.70810842993541	1.33023534061903	4.42570913159735	3.15468430071726	GM13872	ast	
2.72410383602153	2.1738198450537	4.54253639768555	3.14682002625359	TTPA	ast	
2.79045306631598	1.44422295442262	5.12767120878044	3.12078240983968	FAM20A	ast	
4.26712426270173	0.670397007060276	4.32093568284991	3.0861523175373	AQP9	ast	
2.23199133088577	2.1701375551442	4.81188525468798	3.07133804690599	ACOT11	ast	
2.94992321973491	2.71856672616465	3.48717919239034	3.0518897127633	KIAA1161	ast	
1.44766549159029	3.38580822254771	4.25812093413948	3.03053154942582	ID4	ast	
3.16030665993565	2.86020751661464	3.06705759963478	3.02919059206169	BTBD17	ast	
2.20547256561833	3.59652010471857	3.17956184978751	2.99385150670814	ACSL6	ast	
2.5500775602342	2.72327786716365	3.60877103238334	2.96070881992706	MFGE8	ast	
4.40283099365933	1.53276520755612	2.91163748869404	2.9490778966365	ITGA7	ast	
4.81141984043058	0.410533843719713	3.62112932684611	2.9476943369988	GLI2	ast	
2.36716989941436	3.35455797759501	3.01843557119378	2.91338781606772	HTRA1	ast	
3.82924640250583	1.76189410340241	3.04890888330943	2.88001646307256	KCNN3	ast	
