Table S1g Top ranked cell type-specfic genes based on both human and mouse data								
								
Zhang2016_logFC	Darmanis2015_logFC	Zhang2014_logFC	Zeisel2014_logFC	Tasic2016_logFC	grand_mean	gene	Celltype	
4.11272497337376	6.24167698599088	4.66558823743757	5.30847995978043	6.90774060303758	5.44724215192404	AQP4	ast	
3.87629109317366	3.95212334925649	4.39567158463783	3.78946639266054	6.38201821239195	4.4791141264241	ALDH1L1	ast	
4.49227045694974	5.2991821887593	4.768128503929	2.54797417691101	5.10708856018936	4.44292877734768	BMPR1B	ast	
4.29619720353909	3.20696059871379	4.53266449108679	3.38633105634914	6.14611014902632	4.31365269974302	SLC14A1	ast	
4.0781620744852	3.29446195429602	3.66590250028444	3.43406995841385	6.37474978147824	4.16946925379155	MLC1	ast	
4.5115308512273	4.0258336949999	4.32920775637824	2.32971448290555	5.51549739007456	4.14235683511711	FGFR3	ast	
3.95414738480772	4.4786731692866	3.03697029630863	2.94764085082191	5.63023479073902	4.00953329839277	SLC25A18	ast	
3.01919789851551	3.91991442817426	5.13244346653012	2.31171522578914	5.325960445476	3.941846292897	GLI3	ast	
3.39622523041356	4.76801267644405	1.66557443716147	3.81587914542104	5.92780388893385	3.91469907567479	GFAP	ast	
3.36041813939153	4.03115427810668	2.88225557043164	3.12056530312963	5.67035412413898	3.81294948303969	ACSBG1	ast	
3.8410837397962	3.80377932784465	4.03810803275688	3.28856680965032	3.82976530049435	3.76026064210848	SLC4A4	ast	
4.40927160722212	4.32982440437424	2.72519856338494	2.88249134215282	4.31649998042329	3.73265717951148	GJA1	ast	
4.59521655507098	4.25148915135008	1.7812372162505	3.78934177221239	4.22871854599451	3.72920064817569	GJB6	ast	
4.20982461824731	2.9708453811782	3.25498653330114	2.71657047962238	5.35156962156342	3.70075932678249	SLC39A12	ast	
4.68234131543192	3.06268796657514	2.67121332165311	3.32886236452303	4.57376203842819	3.66377340132228	AGT	ast	
1.90190919646513	2.85667933890741	3.58386246025201	1.90422349204722	7.76377275400314	3.60208944833498	CHRDL1	ast	
4.11675923503638	4.09106780677455	2.26169711232779	3.58634667952582	3.88023594620158	3.58722135597323	SLC1A2	ast	
3.95869142748252	3.79594677391435	2.87018201610291	3.76942584760016	3.34047174950239	3.54694356292047	CLDN10	ast	
3.39406108654794	3.09457622143929	3.6537639030591	2.76160253875622	4.40136694245707	3.46107413845192	SOX9	ast	
3.74318695979959	1.03238676406436	4.823714944587	2.92571634049498	4.67923084094896	3.44084716997898	PPP1R3C	ast	
3.64347148456731	3.34293871046457	1.33325157114312	4.30680210787672	4.08132252188984	3.34155727918831	CLU	ast	
3.53965568397212	2.44084965954147	3.46796800930397	2.0990618998942	5.15947761528047	3.34140257359845	SLC7A10	ast	
4.11410419137536	3.31976255750928	1.44766549159029	3.38580822254771	4.25812093413948	3.30509227943242	ID4	ast	
3.04499660606328	2.13690767373543	3.16543413677979	3.32206508874143	4.67884760694505	3.269650222453	DIO2	ast	
3.43018275427027	2.99673391020206	2.4814150695442	3.7138052142812	3.68572615231883	3.26157262012331	SFXN5	ast	
3.01753547173691	2.66535414237684	4.10871259119515	2.61628651634775	3.43829166898025	3.16923607812738	SLC6A11	ast	
3.14784650384986	1.87310597610773	3.82949815069951	2.14478369979982	4.72563160947861	3.14417318798711	ATP13A4	ast	
3.21828755911076	3.2660024900676	2.23199133088577	2.1701375551442	4.81188525468798	3.13966083797926	ACOT11	ast	
3.1289070752349	2.82655405763948	1.6574017384222	3.16127218020356	4.75909261843164	3.10664553398636	SCARA3	ast	
2.74005210228027	2.42274042495198	1.56696403387961	4.04570912011013	4.43616677537868	3.04232649132013	ALDOC	ast	
1.35713487872567	0.0718122574171434	4.58632498414328	1.94940294813164	7.12815988572851	3.01856699082925	PLCD4	ast	
3.55199462072193	3.53026983861902	2.08722896699904	3.03451619431268	2.52078476979651	2.94495887808984	ATP1B2	ast	
3.12304234217354	1.3696600055277	1.80102849708445	3.80016040430309	4.59339237088124	2.937456723994	NTSR2	ast	
3.50451990864752	3.46592734757316	2.94547254834206	1.58503400351082	3.11794411414644	2.923779584444	RGS20	ast	
3.46033066370902	2.5510637355669	2.52744188761406	1.99381426857499	3.89062488050868	2.88465508719473	ELOVL2	ast	
2.80493676845358	3.01210494191774	1.82774966412439	2.71634057012452	3.52936199782733	2.77809878848951	PAX6	ast	
1.1311042958842	0.510608016079245	4.07297007953574	1.99785534902173	5.95668847089636	2.73384524228346	ENTPD2	ast	
3.94140791524997	3.21322410321665	2.79291442716433	3.575739922381	0.0140846326979744	2.70747420014199	NCAN	ast	
2.71001936743236	1.65964235131316	2.94992321973491	2.71856672616465	3.48717919239034	2.70506617140709	KIAA1161	ast	
4.92199689181277	4.56887351155391	-1.64244127165271	0	5.58502509663365	2.68669084566952	ETNPPL	ast	
3.27074890658965	1.61278137640003	2.49967506515712	3.12282946991814	2.88852787853115	2.67891253931922	PPAP2B	ast	
2.04715859578104	0	4.65302896041776	1.19623448677645	5.42679743476659	2.66464389554837	LGR6	ast	
3.87555744282534	3.66201453664616	2.91886382774584	1.12477633988978	1.53876432543497	2.62399529450842	GPAM	ast	
